,Code,rcp,period,season,variable,parameter,value
1,SUM,NA,present,annual,max,Sbtm,28.416467666626
2,TH,NA,present,annual,max,Sbtm,30.7576808929443
3,MASI,NA,present,annual,max,Sbtm,30.776252746582
4,SAC,NA,present,annual,max,Sbtm,30.7751312255859
5,PRJ,NA,present,annual,max,Sbtm,31.2391147613525
6,HEB,NA,present,annual,max,Sbtm,31.1974868774414
7,L3F,NA,present,annual,max,Sbtm,31.0223388671875
8,SAM,NA,present,annual,max,Sbtm,31.7398376464844
9,MASS,NA,present,annual,max,Sbtm,31.2137851715088
10,PORT,NA,present,annual,max,Sbtm,31.3918704986572
11,POK,NA,present,annual,max,Sbtm,29.6633052825928
12,POUL,NA,present,annual,max,Sbtm,30.493803024292
13,NRIV,NA,present,annual,max,Sbtm,29.8068084716797
14,BUCK,NA,present,annual,max,Sbtm,32.2059860229492
15,PETITE,NA,present,annual,max,Sbtm,30.8722705841064
16,RIM,NA,present,annual,max,Sbtm,33.1843681335449
17,SEPT,NA,present,annual,max,Sbtm,30.7263164520264
18,CH33,NA,present,annual,max,Sbtm,22.4002857208252
19,CH38,NA,present,annual,max,Sbtm,20.1665458679199
20,MELM,NA,present,annual,max,Sbtm,27.1212005615234
21,GreatBay,NA,present,annual,max,Sbtm,31.6343002319336
22,SUM,NA,present,annual,max,SSS,28.3535404205322
23,TH,NA,present,annual,max,SSS,30.4276294708252
24,MASI,NA,present,annual,max,SSS,30.7619781494141
25,SAC,NA,present,annual,max,SSS,30.7300281524658
26,PRJ,NA,present,annual,max,SSS,30.845552444458
27,HEB,NA,present,annual,max,SSS,30.8003101348877
28,L3F,NA,present,annual,max,SSS,30.5978622436523
29,SAM,NA,present,annual,max,SSS,30.6283855438232
30,MASS,NA,present,annual,max,SSS,30.7073669433594
31,PORT,NA,present,annual,max,SSS,31.3733386993408
32,POK,NA,present,annual,max,SSS,29.4488868713379
33,POUL,NA,present,annual,max,SSS,30.3357391357422
34,NRIV,NA,present,annual,max,SSS,29.6934490203857
35,BUCK,NA,present,annual,max,SSS,32.1906356811523
36,PETITE,NA,present,annual,max,SSS,30.8622188568115
37,RIM,NA,present,annual,max,SSS,27.0651454925537
38,SEPT,NA,present,annual,max,SSS,29.6124820709229
39,CH33,NA,present,annual,max,SSS,22.210994720459
40,CH38,NA,present,annual,max,SSS,19.8551006317139
41,MELM,NA,present,annual,max,SSS,27.113395690918
42,GreatBay,NA,present,annual,max,SSS,31.0614204406738
43,SUM,NA,present,annual,max,SST,20.6781215667725
44,TH,NA,present,annual,max,SST,14.7610206604004
45,MASI,NA,present,annual,max,SST,14.9292430877686
46,SAC,NA,present,annual,max,SST,15.4414653778076
47,PRJ,NA,present,annual,max,SST,14.2848148345947
48,HEB,NA,present,annual,max,SST,14.3631219863892
49,L3F,NA,present,annual,max,SST,14.3327207565308
50,SAM,NA,present,annual,max,SST,15.016996383667
51,MASS,NA,present,annual,max,SST,17.7848567962646
52,PORT,NA,present,annual,max,SST,15.2000980377197
53,POK,NA,present,annual,max,SST,17.2543087005615
54,POUL,NA,present,annual,max,SST,16.1682281494141
55,NRIV,NA,present,annual,max,SST,17.8648090362549
56,BUCK,NA,present,annual,max,SST,14.7832431793213
57,PETITE,NA,present,annual,max,SST,17.1806297302246
58,RIM,NA,present,annual,max,SST,15.65576171875
59,SEPT,NA,present,annual,max,SST,11.7648067474365
60,CH33,NA,present,annual,max,SST,13.5002813339233
61,CH38,NA,present,annual,max,SST,14.1064310073853
62,MELM,NA,present,annual,max,SST,20.0481986999512
63,GreatBay,NA,present,annual,max,SST,16.0843467712402
64,SUM,NA,present,annual,max,Tbtm,20.7178249359131
65,TH,NA,present,annual,max,Tbtm,13.2811841964722
66,MASI,NA,present,annual,max,Tbtm,14.8691730499268
67,SAC,NA,present,annual,max,Tbtm,15.0062952041626
68,PRJ,NA,present,annual,max,Tbtm,10.6872596740723
69,HEB,NA,present,annual,max,Tbtm,10.3681125640869
70,L3F,NA,present,annual,max,Tbtm,11.7833108901978
71,SAM,NA,present,annual,max,Tbtm,9.98695087432861
72,MASS,NA,present,annual,max,Tbtm,13.0917282104492
