"Site","GDD5","GDD11"
"Lower Three Fathom 2018",2423.129,1245.7635
"Lower Three Fathom 2019",2341.4915,1155.738
"Mason's Island 2018",1952.52,793.8375
"Mason's Island 2019",1791.597,684.7005
"Mason's Island 2020",1874.56806896552,696.703568965517
"Port Joli 2018",2610.6805,1393.3465
"Port Joli 2019",2286.1015,1068.4775
"Port Joli 2020",2512.215,1225.059
"Port l'Hebert 2018",2565.28273287671,1349.0255
"Port l'Hebert 2019",2272.986,1013.05525
"Port l'Hebert 2020",2439.65003523703,1272.15853523703
"Sacrifice Island Shallow 2018",1766.476,658.75
"Sacrifice Island Shallow 2019",1697.7735,616.5455
"Sacrifice Island Shallow 2020",1707.65,602.5045
"Sambro Deep 2018",1138.70375,358.77775
"Taylor's Head Shallow 2018",1497.9765,590.5955
"Taylor's Head Shallow 2019",1561.4415,543.4235
"Taylor's Head Shallow 2020",1600.01,562.766
