"Site","Year","Median_temp","Mean_temp","SD_temp","Max_temp","Min_temp","ninetyp","prop5.23","meansumDTR90per","mediansumDTR90per","meansumDTR95per","mediansumDTR95per"
"Lower Three Fathom","2017",19.865,19.8916300852895,2.42061392439768,27.407,13.57,23.112,0.890398550724638,2.45758494623656,2.405,2.67822419354839,2.717
"Lower Three Fathom","2018",21.533,20.8878990867235,2.79031252299851,26.231,10.001,23.857,0.749547101449275,2.2470247311828,2.1101,2.45406075268817,2.3984
"Lower Three Fathom","2019",21.437,20.9756187025926,2.76336969972341,26.549,13.594,24.267,0.730865036231884,2.35875161290323,2.417,2.5725564516129,2.6055
"Lower Three Fathom","2021",21.413,21.003440507189,2.16925163869633,25.55,15.151,23.737,0.819972826086957,1.97826021505376,1.916,2.21259032258064,2.075
"Mason's Island","2017",15.891,15.9558607442071,2.60534726294073,23.689,8.419,19.318,0.996527777777778,3.46725376344086,3.5594,4.29603870967742,4.17875
"Mason's Island","2018",16.844,16.8007250358518,2.38924773579534,22.896,10.858,19.841,1,2.98751290322581,2.949,3.5093623655914,3.361
"Mason's Island","2019",16.892,16.5949698856561,1.93481327894057,21.724,10.443,18.771,1,2.30344301075269,2.3785,2.72550483870968,2.86875
"Mason's Island","2020",16.796,16.6563022755576,1.75603611915597,22.13,10.198,18.628,1,2.50487956989247,2.592,3.00957419354839,3.137
"Mason's Island","2021",17.296,17.1493425789652,1.93103197866552,22.872,7.469,19.579,1,2.48868494623656,2.2725,2.96760322580645,2.64575
"Port Joli","2017",19.365,19.5909100309457,2.95831340461696,31.153,11.248,23.617,0.867904589371981,3.87641612903226,3.3418,4.87680430107527,3.7258
"Port Joli","2018",21.795,21.6026474450902,3.06432645947322,30.444,8.767,25.307,0.652475845410628,4.09909032258065,3.7975,5.36175806451613,4.78665
"Port Joli","2019",20.46,20.1759695460206,3.11498456176982,32.201,11.005,24.05,0.816236413043478,3.75074086021505,3.457,4.81996075268817,4.0955
"Port Joli","2020",20.793,20.8711239669422,2.51617011209047,29.59,8.941,23.978,0.797101449275362,4.20830215053763,3.9545,5.58829838709677,5.246
"Port Joli","2021",20.603,20.6832190648704,2.73804382405808,32.458,6.204,24.219,0.806725543478261,4.06944193548387,3.455,5.2898747311828,4.916
"Port l'Hebert","2017",18.616,18.9512111102725,2.84010564726032,34.374,7.481,22.717,0.904060990338164,3.22286344086022,2.6435,5.08227849462366,3.628
"Port l'Hebert","2018",21.246,21.2122276398219,2.99598687699185,29.615,7.217,24.823,0.711277173913043,3.61839784946237,3.562,4.89386666666667,4.19965
"Port l'Hebert","2019",20.126,19.7699894713008,2.69245721613846,27.579,9.583,23.04,0.894134963768116,2.24752688172043,2.062,3.02084408602151,2.484
"Port l'Hebert","2020",21.032,20.9982691611004,2.3792798404432,28.568,7.041,23.9895,0.79789402173913,3.20747258064516,3.268,4.80651209677419,4.111125
"Port l'Hebert","2021",20.031,19.9504220536624,1.62299243404363,26.426,6.585,21.963,0.972259963768116,1.42383440860215,1.227,1.80338333333333,1.477
"Sacrifice Island Shallow","2017",15.223,14.8684946033663,3.05458584153976,21.056,8.02,18.961,1,1.8069064516129,1.5763,2.09018978494624,1.748
"Sacrifice Island Shallow","2018",15.629,15.8107122801721,2.71425256773392,22.321,10.001,19.674,1,1.83234731182796,1.7783,2.07153225806452,1.9944
"Sacrifice Island Shallow","2019",16.415,16.1197244990377,2.24383742635825,21.485,8.195,18.628,1,1.59450215053763,1.554,1.81083978494624,1.76
"Sacrifice Island Shallow","2020",16.296,15.9226292312917,2.05784099419139,21.39,9.386,18.271,1,1.82324731182796,1.7835,2.02426182795699,1.9605
"Sacrifice Island Shallow","2021",16.654,16.3874753764293,2.14823884089641,21.366,9.657,19.127,1,1.57463548387097,1.523,1.78885591397849,1.773
"Sambro Shallow","2017",14.433,13.4126299343347,3.62482393419843,20.388,5.257,17.582,1,1.92202043010753,1.5866,2.26920215053763,1.90485
"Sambro Shallow","2021",14.553,14.6133480224609,2.75247071817742,21.437,6.763,18.794,1,1.77663103448276,1.5965,2.0845683908046,1.896
"Taylor's Head Shallow","2017",16.368,15.877844294699,2.75289141492095,21.175,6.458,19.246,1,2.49400126582279,1.9384,2.7951,2.366
"Taylor's Head Shallow","2018",15.748,15.4970981960903,3.78519515080178,22.848,6.763,20.15,1,3.01076989247312,2.5233,3.35709301075269,2.82
"Taylor's Head Shallow","2019",16.654,15.9314631495528,2.99158596073903,21.772,7.293,19.555,1,2.24390107526882,1.748,2.52186720430108,1.902
"Taylor's Head Shallow","2020",15.652,15.4552935582475,3.13533862102498,20.984,4.662,19.199,0.996376811594203,2.46323486943164,2.1165,2.71123602150538,2.323
"Taylor's Head Shallow","2021",15.461,15.328728687875,2.67051395999003,21.533,6.788,18.557,1,1.93920537634409,1.704,2.15461720430108,1.869
