location,region,code,region,grouping,lat,long,number,collaborator
Summerside,PEI,SUM,Gulf-PEI,atlantic,46.36505,-63.79396667,50,
Taylor Head,NS,TH,Maritimes,atlantic,44.82054295,-62.57190789,50,
Masons Island,NS,MASI,Maritimes,atlantic,44.38989996,-64.27879991,50,
Sacrifice Island,NS,SAC,Maritimes,atlantic,44.396652,-64.23597702,50,
Port Joli,NS,PRJ,Maritimes,atlantic,43.87538304,-64.90091692,50,
Port L'Hebert,NS,HEB,Maritimes,atlantic,43.86806698,-64.96333293,50,
Lower Three Fathom,NS,L3F,Maritimes,atlantic,44.63533793,-63.29393794,50,
Sambro,NS,SAM,Maritimes,atlantic,44.4554,-63.5879,50,
East Bay,NS,Ebay,Maritimes,atlantic,46.01493,-60.38755,50,
Nahant,Massachussetts,MASS,USA,atlantic,42.42,-70.92,50,Phil Colarusso
Portland,Maine,PORT,USA,atlantic,43.66833,-70.23891,50,Phil Colarusso
Pokesudie,NB,POK,Gulf-NB,atlantic,47.78465,-64.74825,50,
Poulamon,NS,POUL,Maritimes,atlantic,45.58269,-61.00286,50,
North River,NS,NRIV,Maritimes,atlantic,46.2969,-60.6145,50,
Buckley Cove,NL,BUCK,Newfoundland,atlantic,48.59036667,-53.91451667,55,Bob Gregory
Petite Baie,QB,PETITE,Quebec,atlantic,47.40533,-61.8226,49,Nathalie Simard
Rimouski,QB,RIM,Quebec,atlantic,48.46687871,-68.51951606,41,France Dufresne
Sept Iles,QB,SEPT,Quebec,atlantic,50.24063719,-66.51546842,39,France Dufresne
James Bay CH33,JB,CH33,Arctic,arctic,53.6968,-79.1279,30,France Dufresne
James Bay CH38,JB,CH38,Artcic,arctic,53.280838 ,-78.974159,30,France Dufresne
Melmerby,NB,MELM,Gulf-NS,atlantic,45.65388991,-62.50152598,54,
Great Bay,New Hampshire,GreatBay,USA,atlantic,43.073,-70.864,50,Cynthia Hays
Tsawwassen Beach,BC,TSW,Pacific,pacific,49.00515575,-123.0934823,30,France Dufresne
