## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT Pool23.sorted.bam --OUTPUT Pool23.sorted.bamdeDup.bam --METRICS_FILE Pool23.sorted.bam_deDupMetrics.txt --REMOVE_DUPLICATES true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 04 11:29:59 AST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Zostera	229032	79957509	1943288	10864414	111348	10354584	1149502	0.130011	310536497

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.01279	60664550	0	61526960
2.0	1.795672	7739124	1097351	7108771
3.0	2.400836	1024338	25051	836729
4.0	2.868626	143888	651	107586
5.0	3.230225	23735	24	17295
6.0	3.50974	5016	0	3789
7.0	3.725803	1454	0	1120
8.0	3.89282	485	0	389
9.0	4.021923	177	0	158
10.0	4.121718	86	0	71
11.0	4.19886	34	0	30
12.0	4.258491	24	0	15
13.0	4.304585	5	0	3
14.0	4.340215	5	0	5
15.0	4.367757	2	0	3
16.0	4.389047	0	0	0
17.0	4.405504	1	0	1
18.0	4.418225	0	0	0
19.0	4.428059	1	0	0
20.0	4.43566	0	0	0
21.0	4.441536	0	0	0
22.0	4.446078	0	0	0
23.0	4.449589	0	0	0
24.0	4.452302	0	0	0
25.0	4.4544	0	0	0
26.0	4.456022	0	0	0
27.0	4.457275	0	0	0
28.0	4.458244	0	0	0
29.0	4.458993	0	0	0
30.0	4.459572	0	0	0
31.0	4.46002	0	0	0
32.0	4.460366	0	0	0
33.0	4.460633	0	0	0
34.0	4.46084	0	0	0
35.0	4.461	0	0	0
36.0	4.461123	0	0	0
37.0	4.461219	0	0	0
38.0	4.461292	0	0	0
39.0	4.46135	0	0	0
40.0	4.461394	0	0	0
41.0	4.461428	0	0	0
42.0	4.461454	0	0	0
43.0	4.461474	0	0	0
44.0	4.46149	0	0	0
45.0	4.461502	0	0	0
46.0	4.461512	0	0	0
47.0	4.461519	0	0	0
48.0	4.461525	0	0	0
49.0	4.461529	0	0	0
50.0	4.461532	0	0	0
51.0	4.461535	0	0	0
52.0	4.461537	0	0	0
53.0	4.461538	0	0	0
54.0	4.46154	0	0	0
55.0	4.461541	0	0	0
56.0	4.461541	0	0	0
57.0	4.461542	0	0	0
58.0	4.461542	0	0	0
59.0	4.461543	0	0	0
60.0	4.461543	0	0	0
61.0	4.461543	0	0	0
62.0	4.461543	0	0	0
63.0	4.461543	0	0	0
64.0	4.461543	0	0	0
65.0	4.461544	0	0	0
66.0	4.461544	0	0	0
67.0	4.461544	0	0	0
68.0	4.461544	0	0	0
69.0	4.461544	0	0	0
70.0	4.461544	0	0	0
71.0	4.461544	0	0	0
72.0	4.461544	0	0	0
73.0	4.461544	0	0	0
74.0	4.461544	0	0	0
75.0	4.461544	0	0	0
76.0	4.461544	0	0	0
77.0	4.461544	0	0	0
78.0	4.461544	0	0	0
79.0	4.461544	0	0	0
80.0	4.461544	0	0	0
81.0	4.461544	0	0	0
82.0	4.461544	0	0	0
83.0	4.461544	0	0	0
84.0	4.461544	0	0	0
85.0	4.461544	0	0	0
86.0	4.461544	0	0	0
87.0	4.461544	0	0	0
88.0	4.461544	0	0	0
89.0	4.461544	0	0	0
90.0	4.461544	0	0	0
91.0	4.461544	0	0	0
92.0	4.461544	0	0	0
93.0	4.461544	0	0	0
94.0	4.461544	0	0	0
95.0	4.461544	0	0	0
96.0	4.461544	0	0	0
97.0	4.461544	0	0	0
98.0	4.461544	0	0	0
99.0	4.461544	0	0	0
100.0	4.461544	0	0	0

