,MASI,SAC,L3F,SUM,POK,PRJ,SAM,MASS,RIM,SEPT,GRB,HEB,PORT,PETI,NRIV,EBAY,POUL,JB33,JB38,BUCK,MELM,TAYH
MASI,NA,0.00252398728296215,0.0208443270113473,0.104558089198102,0.101079823177764,0.038735443197386,0.026506141253149,0.0746214766415717,0.17803014562198,0.0979542412944234,0.0825762804669294,0.0346708023612445,0.0781284014940389,0.0678263228689778,0.0860620330326901,0.0436852460009877,0.0864485323982756,0.196314375331668,0.194915452441319,0.104995999877362,0.0727987974330957,0.0267665080987074
SAC,0.00252398728296215,NA,0.019108551914448,0.103051525416577,0.0995056401533742,0.0377483208314925,0.0222235509727955,0.0710809518055099,0.1739840638907,0.0911880105362431,0.0831458008115422,0.033293019198238,0.0767547021192168,0.0644037447573518,0.085887303759656,0.0428844332401982,0.0831875226744524,0.193773859357272,0.192752148382188,0.0979256214825191,0.0724467367088604,0.0205699377581617
L3F,0.0208443270113473,0.019108551914448,NA,0.0825871139041146,0.0812594987085555,0.0303706007998121,0.00338340258097312,0.0644396947057444,0.154348725992382,0.0739255158046069,0.0743224911674644,0.0261638894134428,0.0699080239046859,0.0492094952872939,0.0660703448273168,0.0311356927246944,0.0655644853984942,0.169979760590844,0.1681310211914,0.0842205974596346,0.0536215690467969,0.00627313847950756
SUM,0.104558089198102,0.103051525416577,0.0825871139041146,NA,0.0203535147211928,0.112558330770668,0.0915650024943219,0.141581244084754,0.121353526722718,0.0947245062845065,0.148986042660945,0.109080534630712,0.14207383042627,0.0333510432375111,0.0820919943143776,0.0839305430104067,0.0667292564904615,0.12081325613822,0.12412105897172,0.113689488813485,0.0334701384234469,0.0878692235477654
POK,0.101079823177764,0.0995056401533742,0.0812594987085555,0.0203535147211928,NA,0.109488533000422,0.0897542025214481,0.137578947461053,0.107365057937873,0.0853279915061513,0.145579847664445,0.106457283343373,0.138910842178226,0.0239798046737777,0.0764976499269943,0.0806945463867542,0.0588793016148461,0.106649108908556,0.110910097946784,0.107677820372212,0.0367729181032148,0.0841421329887071
PRJ,0.038735443197386,0.0377483208314925,0.0303706007998121,0.112558330770668,0.109488533000422,NA,0.0339466825547642,0.0874141031117468,0.18220899588371,0.101716543445511,0.0865652375460854,-0.00589918804439861,0.0837107663621993,0.0765578975123504,0.0953297711582493,0.0572829342495181,0.0953087871394895,0.20334572991007,0.206505894118565,0.106163789502106,0.0803802127177903,0.0358161874791446
SAM,0.026506141253149,0.0222235509727955,0.00338340258097312,0.0915650024943219,0.0897542025214481,0.0339466825547642,NA,0.0616099315381958,0.157487436995258,0.0737535585716691,0.0773013012021069,0.0310097325141699,0.0720624484914249,0.0552336447590736,0.0752712540997325,0.0344772206765322,0.0715840684553948,0.179047244242903,0.178874887641703,0.0832466885391983,0.0610080606063685,0.00533479889363174
MASS,0.0746214766415717,0.0710809518055099,0.0644396947057444,0.141581244084754,0.137578947461053,0.0874141031117468,0.0616099315381958,NA,0.209030527589301,0.135240145777163,0.0671420554496863,0.0831680713271292,0.0623666335254131,0.109534654268291,0.136501177614764,0.090775237702432,0.124923200082682,0.226552035803427,0.219520020475046,0.146805653554797,0.114677720801565,0.0674075421053609
RIM,0.17803014562198,0.1739840638907,0.154348725992382,0.121353526722718,0.107365057937873,0.18220899588371,0.157487436995258,0.209030527589301,NA,0.130565950121742,0.231447024800039,0.175684973412563,0.217841822695357,0.116764544383332,0.157867640149794,0.164737486234763,0.140928990611133,0.178536643982509,0.179473778144773,0.165441118975184,0.131737769145967,0.158868098785616
SEPT,0.0979542412944234,0.0911880105362431,0.0739255158046069,0.0947245062845065,0.0853279915061513,0.101716543445511,0.0737535585716691,0.135240145777163,0.130565950121742,NA,0.143956002918251,0.0993500646213907,0.136646381431574,0.0677352358772854,0.0970917946335914,0.0808807469337032,0.0910055779645008,0.16113845786833,0.160839751054723,0.0677031484688701,0.0779174396742858,0.0695516031281914
