,MASI,SAC,L3F,SUM,POK,PRJ,SAM,MASS,RIM,SEPT,GRB,HEB,PORT,PETI,NRIV,EBAY,POUL,JB33,JB38,BUCK,MELM,TAYH,TSW
MASI,NA,0.002370875,0.020612412,0.103633978,0.100173138,0.038674036,0.026192495,0.074017458,0.176511936,0.097103972,0.081932595,0.034308694,0.077516582,0.067200586,0.085378701,0.043265488,0.085628611,0.194727987,0.193222389,0.104244413,0.072121965,0.026448192,0.445334415
SAC,0.002370875,NA,0.018852289,0.102144619,0.098610136,0.037615069,0.021920475,0.070465434,0.172439453,0.090380287,0.082487661,0.032934486,0.076157336,0.063751769,0.085210547,0.042470172,0.082410292,0.192201658,0.191035948,0.097217473,0.071780695,0.020277777,0.442972294
L3F,0.020612412,0.018852289,NA,0.081803786,0.080462151,0.030552908,0.003234481,0.063853991,0.152945669,0.073282422,0.073713064,0.02583969,0.069352205,0.048642023,0.065528819,0.030812748,0.064987273,0.168546915,0.166593567,0.083618072,0.053073152,0.006059218,0.428219708
SUM,0.103633978,0.102144619,0.081803786,NA,0.020097226,0.111360679,0.090715537,0.140424791,0.120421114,0.094034069,0.147888832,0.108103758,0.140989253,0.03312927,0.081459275,0.083181027,0.066203082,0.119835959,0.123079334,0.112934551,0.033120799,0.087064954,0.456282339
POK,0.100173138,0.098610136,0.080462151,0.020097226,NA,0.108124043,0.088907771,0.136488374,0.1065794,0.084703708,0.144514907,0.10547418,0.137850415,0.02378423,0.075925514,0.079996445,0.058418301,0.10578935,0.110031431,0.106945349,0.036397692,0.083323226,0.459263963
PRJ,0.038674036,0.037615069,0.030552908,0.111360679,0.108124043,NA,0.033893965,0.086205826,0.17865867,0.100050227,0.085317391,0,0.082752823,0.075638211,0.093901201,0.056598954,0.09357769,0.199248702,0.202239353,0.104787425,0.079296324,0.035659613,0.420928424
SAM,0.026192495,0.021920475,0.003234481,0.090715537,0.088907771,0.033893965,NA,0.060948385,0.155935156,0.073087307,0.076639592,0.030676287,0.071474769,0.054665523,0.074656259,0.034090662,0.070867356,0.177494152,0.177118177,0.082623323,0.060404059,0.005166516,0.428158786
MASS,0.074017458,0.070465434,0.063853991,0.140424791,0.136488374,0.086205826,0.060948385,NA,0.206882715,0.134100547,0.066759708,0.082558021,0.062123113,0.108542782,0.135475467,0.089967638,0.123757865,0.224589132,0.217172938,0.14576756,0.113726376,0.066784893,0.457165706
RIM,0.176511936,0.172439453,0.152945669,0.120421114,0.1065794,0.17865867,0.155935156,0.206882715,NA,0.129393157,0.229645058,0.174237063,0.216136228,0.115862988,0.156662165,0.163305447,0.139732743,0.177129184,0.177706547,0.164146821,0.130699669,0.157401166,0.520900659
SEPT,0.097103972,0.090380287,0.073282422,0.094034069,0.084703708,0.100050227,0.073087307,0.134100547,0.129393157,NA,0.142836425,0.098544897,0.135606833,0.067210974,0.096395569,0.080244862,0.09029322,0.159841185,0.159464472,0.067234661,0.0772949,0.068898403,0.453363023
